athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type,multiple_sr,substance_group
"gouti, thibault",mixed martial arts,ostarinelgd-4033gw1516,6-month suspension,2019-08-27,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"dollaway, cb",mixed martial arts,anastrozoleghrp-2ghrp-6clomiphene,2-year suspension,2019-08-26,FALSE,FALSE,FALSE,analytical,TRUE,S2 PEP HORMONES/G FACTORS/MIMETICS
"dolidze, roman",mixed martial arts,clomiphenedehydrochloromethyltestosterone (dhcmt),1-year suspension,2019-08-23,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"bond, michael",powerlifting,ostarinerad140gw1516,4-year suspension; loss of results,2019-08-21,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"sacklow, joe",weightlifting,"heptaminol1,4‐dimethylpentylamine (1,4‐dmpa)octodrineostarinedi‐hydroxy‐lgd‐4033",4-year suspension; loss of results,2019-07-17,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"mosley, mandy",weightlifting,higenamineheptaminoloctodrine,16-month suspension; loss of results,2019-06-27,FALSE,FALSE,FALSE,analytical,TRUE,S3 BETA-2 AGONISTS
"gorgees, alex",mixed martial arts,drostanolonedehydrochloromethyltestosterone (dhcmt),16-month suspension,2019-05-31,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"porfirio de araùjo, tayane",brazilian jiu-jitsu,19‐norandrosterone (19‐na)19-noretiocholanolone,4-year suspension; loss of results,2019-05-10,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"magomedov, ruslan",mixed martial arts,methyltestosteronestanozolol,lifetime suspension,2019-04-01,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"carrillo, michel",cycling,erythropoietin (epo)19‐norandrosterone (19‐na)androgenic-anabolic steroids (aas)closteboltestosterone,4-year suspension; loss of results,2019-01-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"maia, jennifer",mixed martial arts,"furosemidehydrochlorothiazidechlorothiazidethiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (acb)",6-month suspension,2019-01-15,FALSE,FALSE,FALSE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"grove, carl",cycling,trenboloneclomiphene,public warning,2019-01-04,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"sekulic, stefan",mixed martial arts,drostanolonemetandienone,2-year suspension,2018-12-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"kandare, bharat vijay",mixed martial arts,boldenonetamoxifen,2-year suspension,2018-12-17,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"eyler, bob",archery,cannabinoidspropranolol,2-year suspension - loss of results,2018-10-01,FALSE,FALSE,FALSE,analytical,TRUE,S8 CANNABINOIDS
"diaz, raul",cycling,erythropoietin (epo)dexamethasone,4-year suspension - loss of results,2018-09-27,FALSE,FALSE,FALSE,analytical,TRUE,S2 PEP HORMONES/G FACTORS/MIMETICS
"frazier, daniel",cycling,androgenic anabolic steroidclomiphene,1-year suspension - loss of results,2018-08-15,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"silva, anderson",mixed martial arts,methyltestosteronehydrochlorothiazide,1-year suspension,2018-07-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"de lima, marcos rogerio",mixed martial arts,anastrozolehydrochlorothiazide,6-month suspension,2018-04-23,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"griffin, jason",paralympic cycling,benzoylecgoninemethylecgonine,1-year suspension - loss of results,2018-04-18,FALSE,FALSE,TRUE,analytical,TRUE,S6 STIMULANTS
"palicka, megan",weightlifting,ostarinerad140,3-year suspension - loss of results; sanction tolled due to retirement,2018-04-06,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"volrath, frank",weightlifting,ostarinerad140ibutamoren,4-year suspension - loss of results; sanction tolled due to retirement,2018-04-05,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"roman, lazaro",weightlifting,higenamineclomiphenedehydrochloromethyltestosterone (dhcmt),4-year suspension - loss of results,2018-03-09,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"alexandrov, mihail (mike)",swimming,benzoylecgoninemethylecgonine,1-year suspension - loss of results,2018-03-06,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"miller, jeffery",cycling,testosteronehuman growth hormone (hgh)oxandrolone,4-year suspension - loss of results,2017-12-28,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"roehrick, nick",mixed martial arts,clomiphene (metabolite),1-year suspension,2017-09-21,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"schiefer, john",cycling,clomiphene (metabolite),6-month suspension - loss of results,2017-09-06,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"wuebben, zachary",weightlifting,clomiphenemethylphenidate metabolite ritalinic acid,4-year suspension - loss of results,2017-08-31,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"leogrande, kayle",cycling,raloxifeneostarineibutamorengw1516 sulfonerad140lgd4033andarine,8-year suspension - loss of results,2017-08-28,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"cannetti, guido",mixed martial arts,hydrochlorothiazidechlorothiazideostarinestanozolol metabolites,10-month suspension,2017-08-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"acevedo-fuller, carlee",weightlifting,"higenamine1,4-dimethylpentylamine",9-month suspension - loss of results,2017-08-16,FALSE,FALSE,FALSE,analytical,TRUE,S3 BETA-2 AGONISTS
"bayer, david",weightlifting,clomiphenegw1516,2.5-year suspension - loss of results,2017-06-30,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"sullivan, george",mixed martial arts,clomiphene (metabolite),1-year suspension; second violation,2017-06-20,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"dosterschill, robert kyle",weightlifting,androgenic anabolic steroidamphetaminedrostanolonemesterolonedehydrochloromethyltestosterone (dhcmt),4-year suspension - loss of results,2017-05-31,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid19-norandrosterone (19-na),4-year suspension: sanction is tolled until athlete returns from retirement. second violation.,2017-05-05,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"ledet, justin",mixed martial arts,1-testosterone1-androstenedione,4-month suspension,2017-04-05,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"good, lyman",mixed martial arts,1-androstenedione (metabolite),6-month suspension,2017-04-03,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"hall, mary",weightlifting,oxandrolone (metabolite),4-year suspension - loss of results,2017-03-28,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"andrade, viscardi",mixed martial arts,stanozolol (metabolite)s,2-year suspension,2017-03-21,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"dykes, kelly",weightlifting,clenbuterolostarinea tamoxifen metabolite,4-year suspension - loss of results,2017-03-16,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"prenoveau, robert",paralympic curling,hydrochlorothiazidechlorothiazide,public warning - loss of results,2017-03-07,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"pierik, vincent",weightlifting,19-norandrosterone (19-na)drostanolone (metabolite)sepitrenbolone,4-year suspension - loss of results,2017-02-21,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"ferreira, carlos diego",mixed martial arts,ostarine7-keto-dhea,17-month suspension,2016-12-21,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"mazzie, joseph",roller sports,rad140ibutamoren,4-year suspension - loss of results,2016-12-20,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"jones, jon",mixed martial arts,clomipheneletrozole,1-year suspension,2016-11-07,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"ulloa, camilo",cycling,androgenic anabolic steroidmethylphenidate,4-year suspension - loss of results,2016-10-26,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"ciolli, kimberly",cycling,androgenic anabolic steroidpropylhexadrine,2-year suspension - loss of results,2016-08-22,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"abreu, ricardo",mixed martial arts,androgenic anabolic steroid19-norandrosterone (19-na),2-year suspension - loss of results,2016-07-29,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"williams, nia",rugby,19-norandrosterone (19-na)19-noretiocholanolonedrostanolone (metabolite)s,4-year suspension - loss of results,2016-06-13,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"lehr, daniel",weightlifting,androstenedioneostarine,4-year suspension with 3-month reduction - loss of results,2016-05-02,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"buckley, michael",cycling,androgenic anabolic steroidanastrozolelgd-4033ostarine,4-year suspension - loss of results,2016-03-25,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"lo, wayne",paralympic table tennis,hydrochlorothiazidechlorothiazide,public warning - loss of results,2016-03-09,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"hickman, todd",cycling,stanozolol / methylphenidate,4-year suspension - loss of results,2015-12-04,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"arello jr., robert",track & field,hydrochlorothiazidechlorothiazide,public warning - loss of results,2015-10-27,FALSE,FALSE,FALSE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"rybka, jason",weightlifting,methasteroneostarineandrostatrienedione,4-year suspension with 8 month reduction - loss of results,2015-08-18,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"mcgillivray, deanna",team handball,trenboloneepitrenbolone,2-year suspension - loss of results,2015-04-02,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"mutinda, joseph",track & field,19-norandrosteroneepofurosemide,3-year suspension - loss of results,2015-03-25,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"odesnik, wayne",tennis,"methenoloneandrost-(2,3)-en-17-oneghrp-6",15-year suspension - loss of results,2015-03-18,FALSE,FALSE,FALSE,analytical,TRUE,S2 PEP HORMONES/G FACTORS/MIMETICS
"carlin, nikki",weightlifting,clenbuteroloxandrolone (metabolite),2-year suspension - loss of results; sanction tolled due to a whereabouts compliance failure,2014-11-14,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"o'hara, damian",judo,methylclostebolpromagnon,1-year suspension - loss of results,2014-10-08,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"trojan, nicholas",rowing,methylphenidate (metabolite),9-month suspension - loss of results,2014-06-11,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"atkinson, annie",judo,hydrochlorothiazidechlorothiazidetriamterene4-hydroxytriamterene,3-month suspension - loss of results,2014-02-28,FALSE,FALSE,FALSE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"perry, brett",speedskating,methylphenidate (metabolite),9-month suspension - loss of results,2014-02-26,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"leduc, david",cycling,androgenic anabolic steroid erythropoietin (epo)  amphetamine,2-year suspension - loss of results,2013-12-30,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"meeker, richard",cycling,19-norandrosterone (19-na)  19-noretiocholanolone,2-year suspension - loss of results,2013-11-26,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"crouse, camdin",paralympic track & field,amphetaminemethylhexaneamine,2-year suspension - loss of results; sanction extended due to a whereabouts compliance failure,2013-09-23,FALSE,FALSE,TRUE,analytical,TRUE,S6 STIMULANTS
"anwar, abdallah",paralympic boccia,hydrochlorothiazidechlorothiazide,public warning,2013-06-20,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"hersey, mike",paralympic sailing,hydrochlorothiazidechlorothiazide,public warning,2013-03-12,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"wenzel, roger",track & field,androgenic anabolic steroidmodafinil,2-year suspension - loss of results,2013-03-08,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"hall, joseph",shooting,19-norandrosterone (19-na)  19-noretiocholanolone,1-year suspension - loss of results,2012-12-21,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"andrus, steven",wrestling,cannabinoidsamphetamine,1-year suspension - loss of results,2012-08-31,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"brown, matthew",paralympic track & field,hydrochlorothiazidechlorothiazide,1-year suspension - loss of results; second violation,2012-08-03,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"shields, jerry",paralympic archery,hydrochlorothiazidechlorothiazidetriamterenelabetalol,public warning - loss of results,2012-04-27,FALSE,FALSE,TRUE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"webster, joshua",cycling,methylhexaneaminephenpromethamine,2-year suspension - loss of results,2011-07-15,FALSE,FALSE,FALSE,analytical,TRUE,S6 STIMULANTS
"quintero, lisban",cycling,19-norandrosterone (19-na)  19-noretiocholanolone,2-year suspension - loss of results,2011-07-01,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"block, mark",track & field - athlete support personnel,non-anatlyical: administrationtrafficking,10 year suspension,2011-03-17,TRUE,FALSE,FALSE,non-analytical,TRUE,NA
"cosby-toruga, jessica",track & field,hydrochlorothiazidechlorothiazide,4 month suspension - loss of results,2010-05-10,FALSE,FALSE,FALSE,analytical,TRUE,S5 DIURETICS/MASKING AGENTS
"clinger, david",cycling,androgenic anabolic steroidmodafinil,2-year suspension - loss of results,2010-03-19,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"comardo, mitch",cycling,tamoxifen (metabolite)anastrozoleletrozolehuman chorionic gonadotrophin (hcg)clomiphene,2-year suspension - loss of results,2009-10-06,FALSE,FALSE,FALSE,analytical,TRUE,S4 HORMONE AND METABOLIC MODULATORS
"alfred, stephen",cycling,androgenic anabolic steroidhuman chorionic gonadotrophin (hcg),8-year suspension - loss of results,2007-02-02,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"dickey, duane",cycling,phentermineboldenonenandrolone,1-year suspension - loss of results,2002-08-30,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"saccente, nicholas",weightlifting,androgenic anabolic steroidboldenone,4-year suspension - loss of results; additional 4 months of suspension - loss of results; sanction tolled due to retirement,2018-12-11,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"hunter, adam",mixed martial arts,tamoxifenboldenonemethandienonedrostanoloneclenbuterol,2-year suspension - loss of results - additional loss of results,2018-09-26,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
"dotti, juan pablo",cycling,androgenic anabolic steroidamphetamine,2-year suspension - loss of results;  2-year suspension restarted - loss of results,2013-06-05,FALSE,FALSE,FALSE,analytical,TRUE,S1 ANABOLIC AGENTS
